Method,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,mia_mia_loss,mia_mia_min_k,mia_mia_min_k_plus_plus,mia_mia_zlib,mia_privleak,model_utility,peak_gpu_mb,privleak,time_seconds
Original,0.05846075668401129,0.12984710693359375,0.2813450830389146,0.06521994354498474,0.7457294657743262,0.32058437500000003,0.320925,0.42179374999999997,0.26739999999999997,53.583670803280256,0.3241842585833919,18447.3046875,53.583670803280256,2909.3334968090057
Retrain,0.03250892997513522,0.0005911898612976074,0.0,,0.7337401636937092,0.5690125,0.557846875,0.55823125,0.38955625,0.0,0.0,30702.97314453125,-11.569374997686117,86.22055339813232
LMC_K10,0.042341233783279024,0.048682632446289065,0.3222332187319033,6.392505006995772e-06,0.7554131390035718,0.3227125,0.333259375,0.40974374999999996,0.27790312500000003,50.794054650005215,0.2049293220278427,31500,50.794054650005215,6484.970331871882
LMC_K20,0.04631135528062767,0.05056686401367187,0.29545676405614196,9.532297003197859e-05,0.7641071164013844,0.30481249999999993,0.32132812499999996,0.46105000000000007,0.287159375,53.49249763789581,0.20829661714115813,31500,53.49249763789581,6879.456357642077
LMC_K30,0.050526736182388295,0.08275726318359375,0.25333679639746515,0.0029708770428139948,0.7503227239696695,0.31604062499999996,0.32340625,0.40256875000000003,0.270234375,53.02249643649526,0.264303476568395,31500,53.02249643649526,7110.3519461955875
LMC_K40,0.05146497052335614,0.08420852661132812,0.21456208678094985,0.006260402267679663,0.7478558020048116,0.316178125,0.3259375,0.39374374999999995,0.272109375,52.450013770127704,0.2685974396776075,31500,52.450013770127704,7525.34951302968
LMC_K50,0.05068566649405211,0.08255325317382813,0.22002051697740163,0.00794521285574355,0.7476146321885031,0.31494375,0.32415937499999997,0.38769375,0.27166250000000003,52.852165174032805,0.2652555320860318,31500,52.852165174032805,7608.614183435217
GradDiff,0.04136392358900773,0.0025031795410905035,0.3197273984556752,5.668696454900228e-34,0.5227704342574943,0.05197187499999998,0.04566874999999998,0.11899375,0.03748125,115.83727354277158,0.27591575528738804,33126.93408203125,115.83727354277158,147.90788197517395
NPO,0.04854718536637382,0.023448724746704102,0.2013139126687866,1.6196210141854015e-10,0.702920758601457,0.015840624999999997,0.012484374999999992,0.016262499999999982,0.06971562499999999,123.34245062197795,0.25041677304263055,39250.85546875,123.34245062197795,339.81529688835144
PDU,0.06249522190250932,0.1656573486328125,0.37681356097251056,0.01260422744087484,0.7497521224161424,0.2523625,0.2864625,0.6140874999999999,0.19165625,61.37791629056607,0.4386450221670564,32461.55029296875,61.37791629056607,149.3547079563141
UNDIAL,0.042856194312037715,0.0727337646484375,0.2889963922756553,0.019594795142993927,0.7521353109132909,0.20290625,0.26576875,0.28341249999999996,0.22055,66.05813878030192,0.3106453388223636,39912.3203125,66.05813878030192,164.18036890029907
