Method,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_prob_ks,forget_quality,forget_truth_ratio,mia_mia_loss,mia_mia_min_k,mia_mia_min_k_plus_plus,mia_mia_zlib,mia_privleak,model_utility,privleak
LMC_K50 (no post-ft),0.054789301527540094,0.110634765625,0.26330965716955473,0.0017621899205092087,0.999962182282687,0.7456975421132416,,,,,,0.30328432375852005,0.0744276650278005
LMC_K50+PostFT (lr=1e-5),0.06697446888433815,0.2106317138671875,0.391057168658412,5.634505575670127e-29,0.9843558982396782,0.7392165517201389,0.340078125,0.3320625,0.39403750000000004,0.26356250000000003,-1.801425151691638,0.43108344403099064,-1.4830401401837885
LMC_K50+PostFT (lr=5e-6),0.06296243961353434,0.1868536376953125,0.36717355421992265,2.213522258546535e-19,0.9996478624837134,0.7459210047786564,0.32535000000000003,0.317975,0.38926249999999996,0.255953125,0.2696854282180467,0.4159492742971274,0.2696854282180467
LMC_K50+PostFT (0.5ep),0.06169190499466972,0.195650634765625,0.3737265885397179,2.0132797133922014e-23,0.9982016927289219,0.7437951394027151,0.32457187499999995,0.31769062499999995,0.38820625000000003,0.2554875,0.31149356104231124,0.4243713164904118,0.31149356104231124
LMC_K50+PostFT+GD(1e-6),0.06424045751395409,0.209091796875,0.39011029715720624,5.634505575670127e-29,0.9843558982396782,0.7387163122625573,,,,,,0.4260258627424522,-1.778913080170884
LMC_K50+PostFT+GD(1e-5),0.06603161687275304,0.1873779296875,0.3820910106313502,9.456104707095184e-16,0.9674055629008819,0.7347888643762452,0.30024687499999997,0.29448124999999997,0.3840375,0.24041875000000001,3.723680401545705,0.4291381733405788,3.723680401545705
LMC_K50+PostFT+GD(2e-5),0.056542189814941995,0.15145294189453126,0.34087653024330306,0.0013468720321565051,0.11114884622967085,0.7279509526746574,0.24438125,0.23505625000000002,0.29767499999999997,0.19780625000000002,12.460201871723795,0.4335595123643804,12.460201871723795
LMC_K50+PostFT+GD(3e-5),0.0504942078880833,0.08292716979980469,0.30233034801802056,8.834292934328535e-33,2.5720789009736948e-05,0.6822459099131655,0.17579062499999998,0.1717375,0.22883749999999997,0.15835,21.769173160572564,0.4343095712763912,21.769173160572564
LMC_K50+PostFT+GD(5e-5),0.03731089628149963,0.002963830940425396,0.29776076252664246,2.974298902710947e-217,5.137999089404319e-16,0.562921972119447,0.18395625,0.18922500000000003,0.32769375,0.15706875,19.198202706895845,0.1206309502197054,19.198202706895845
