B,K,max_K,model_utility,forget_Q_A_ROUGE,forget_Q_A_Prob,forget_truth_ratio,extraction_strength,privleak,mia_min_k,status,unlearn_time_s,total_hvp_calls,K_used_mean,K_used_max,correction_norm_mean,per_step_time_mean_ms,num_forget_steps,num_affected_batches,dist_affected_batches,dist_forget_per_batch_mean,dist_forget_per_batch_max,dist_collateral_ratio,dist_gini,dist_entropy,mia_loss,mia_min_k_plus_plus,mia_zlib
8,10,500,0.38813675048945667,0.4318510799548488,0.2822509765625,0.7385866965949279,0.06595465008942972,-14.974999997004982,0.5748749999999999,evaluated,45.04628584720194,2,10,10,0.014638264973958334,15015.428615733981,3,3,36,1.1111111111111112,2,0.8611111111111112,0.08888888888888902,5.1219280948873624,0.57175,0.6291875,0.50675
8,20,500,0.38816737411395297,0.42894616140848285,0.28245849609375,0.7393840634298778,0.0671285141709025,-14.8624999970275,0.5748749999999999,evaluated,41.26802436262369,6,20,20,0.014638264973958334,13756.008120874563,3,3,36,1.1111111111111112,2,0.8611111111111112,0.08888888888888902,5.1219280948873624,0.57175,0.6291875,0.50675
8,30,500,0.38827500529672093,0.4343308352142093,0.28245849609375,0.7383845958612565,0.06595465008942972,-14.987499997002498,0.5748749999999999,evaluated,26.104098312556744,7,30,30,0.014638264973958334,8701.366104185581,3,3,36,1.1111111111111112,2,0.8611111111111112,0.08888888888888902,5.1219280948873624,0.57175,0.6291875,0.50675
8,40,500,0.38860652876084784,0.4292182892700101,0.28282470703125,0.7389880101514933,0.06541117182856014,-14.94999999701002,0.5748749999999999,evaluated,29.145288322120905,9,40,40,0.014638264973958334,9715.096107373634,3,3,36,1.1111111111111112,2,0.8611111111111112,0.08888888888888902,5.1219280948873624,0.57175,0.6291875,0.50675
8,50,500,0.38837979995002586,0.428340350004974,0.28245849609375,0.7385810781250577,0.06663032576510539,-14.912499997017473,0.5748749999999999,evaluated,29.924127424135804,11,50,50,0.014638264973958334,9974.709141378602,3,3,36,1.1111111111111112,2,0.8611111111111112,0.08888888888888902,5.1219280948873624,0.57175,0.6291875,0.50675
16,10,250,0.38600805902374563,0.4341989848619111,0.27520751953125,0.7455030083990704,0.06595465008942972,-11.206249997758768,0.5560312500000001,evaluated,40.93812784738839,50,10,10,0.01837158203125,8187.625569477677,5,5,35,1.1428571428571428,3,0.9285714285714286,0.11285714285714299,5.053055907333276,0.5515625,0.6025,0.4875
16,20,250,0.38589946031472094,0.43374764688537154,0.27508544921875,0.7444636907035606,0.06595465008942972,-11.343749997731235,0.5560312500000001,evaluated,46.8211139831692,100,20,20,0.01837158203125,9364.22279663384,5,5,35,1.1428571428571428,3,0.9285714285714286,0.11285714285714299,5.053055907333276,0.5515625,0.6025,0.4875
16,30,250,0.3859482773352213,0.43285334752160914,0.27486572265625,0.7446335406597075,0.06595465008942972,-11.224999997754995,0.5560312500000001,evaluated,49.563472425565124,150,30,30,0.01837158203125,9912.694485113025,5,5,35,1.1428571428571428,3,0.9285714285714286,0.11285714285714299,5.053055907333276,0.5515625,0.6025,0.4875
16,40,250,0.3862756614981939,0.4326038427728173,0.27498779296875,0.7448591250698853,0.06595465008942972,-11.312499997737492,0.5560312500000001,evaluated,56.679982885718346,186,37.2,40,0.01837158203125,11335.99657714367,5,5,35,1.1428571428571428,3,0.9285714285714286,0.11285714285714299,5.053055907333276,0.5515625,0.6025,0.4875
16,50,250,0.3859944617838017,0.4311213333467595,0.27486572265625,0.7461140160926256,0.06595465008942972,-11.249999997750004,0.5560312500000001,evaluated,63.84186040610075,216,43.2,50,0.01837158203125,12768.37208122015,5,5,35,1.1428571428571428,3,0.9285714285714286,0.11285714285714299,5.053055907333276,0.5515625,0.6025,0.4875
32,10,125,0.38322126789299155,0.43065553892941627,0.2680419921875,0.7439937617636329,0.0640315731663528,-7.149999998570012,0.5357500000000001,evaluated,138.1311690043658,19,8.875,10,0.021150588989257812,17266.396125545725,8,8,32,1.25,3,0.9609375,0.16874999999999996,4.884183719779189,0.5365625,0.5846250000000001,0.4741875
32,20,125,0.3837332874226286,0.4247563675362933,0.26810302734375,0.744619058687664,0.06476686728399986,-7.099999998579995,0.5357500000000001,evaluated,107.26382765173912,41,16.5,20,0.021150588989257812,13407.97845646739,8,8,32,1.25,3,0.9609375,0.16874999999999996,4.884183719779189,0.5365625,0.5846250000000001,0.4741875
32,30,125,0.38290105866063145,0.427854035996865,0.26812744140625,0.743657594378447,0.06476686728399986,-7.356249998528748,0.5357500000000001,evaluated,60.67082821018994,49,22.375,30,0.021150588989257812,7583.853526273742,8,8,32,1.25,3,0.9609375,0.16874999999999996,4.884183719779189,0.5365625,0.5846250000000001,0.4741875
32,40,125,0.38369999793514303,0.42649096374671897,0.26834716796875,0.7436431427196643,0.06476686728399986,-7.27499999854501,0.5357500000000001,evaluated,73.39538920670748,63,27.375,40,0.021150588989257812,9174.423650838435,8,8,32,1.25,3,0.9609375,0.16874999999999996,4.884183719779189,0.5365625,0.5846250000000001,0.4741875
32,50,125,0.3832820407253801,0.4233539629786698,0.26806640625,0.7443616588853146,0.0640315731663528,-7.362499998527483,0.5357500000000001,evaluated,69.78105809725821,75,31.625,50,0.021150588989257812,8722.632262157276,8,8,32,1.25,3,0.9609375,0.16874999999999996,4.884183719779189,0.5365625,0.5846250000000001,0.4741875
64,10,62,0.37900472687883396,0.4286940717197932,0.25418701171875,0.747914829444056,0.06476686728399986,-1.768749999646258,0.50884375,evaluated,135.49845742620528,103,8.583333333333334,10,0.030762990315755207,11291.53811885044,12,12,29,1.3793103448275863,3,0.978448275862069,0.21206896551724141,4.715311532225101,0.5103125,0.5615,0.44759374999999996
64,20,62,0.3792843169686338,0.4247086025321181,0.2541259765625,0.7482752107253934,0.06476686728399986,-1.7999999996400018,0.50884375,evaluated,163.8539195768535,166,13.833333333333334,20,0.030762990315755207,13654.493298071126,12,12,29,1.3793103448275863,3,0.978448275862069,0.21206896551724141,4.715311532225101,0.5103125,0.5615,0.44759374999999996
64,30,62,0.37900448016117994,0.4223509978523151,0.25428466796875,0.7462916469957492,0.06476686728399986,-1.8999999996200125,0.50884375,evaluated,192.3248555958271,217,18.083333333333332,30,0.030762990315755207,16027.071299652258,12,12,29,1.3793103448275863,3,0.978448275862069,0.21206896551724141,4.715311532225101,0.5103125,0.5615,0.44759374999999996
64,40,62,0.3794373576780383,0.4214819139382617,0.25447998046875,0.747087491420569,0.06476686728399986,-1.7124999996575057,0.50884375,evaluated,216.34882375225425,244,20.333333333333332,40,0.030762990315755207,18029.068646021187,12,12,29,1.3793103448275863,3,0.978448275862069,0.21206896551724141,4.715311532225101,0.5103125,0.5615,0.44759374999999996
64,50,62,0.3794605771745953,0.42372631169736535,0.25391845703125,0.7487540183127424,0.06476686728399986,-1.693749999661255,0.50884375,evaluated,211.1358451973647,264,22,50,0.030762990315755207,17594.653766447056,12,12,29,1.3793103448275863,3,0.978448275862069,0.21206896551724141,4.715311532225101,0.5103125,0.5615,0.44759374999999996
128,10,31,0.3654535833207823,0.4200603903529885,0.22618408203125,0.7597518931735385,0.06303075617288874,7.862499998427494,0.4606875,evaluated,214.55854625068605,93,6.642857142857143,10,0.03774915422712054,15325.610446477574,14,14,20,2.0,5,0.984375,0.28749999999999987,4.112814895472355,0.4600937500000001,0.5273125,0.4044375
128,20,31,0.3656198705680769,0.415180790785889,0.226226806640625,0.75917562262565,0.04219742283955541,8.081249998383745,0.4606875,evaluated,236.1463052276522,143,10.214285714285714,20,0.03774915422712054,16867.593230546587,14,14,20,2.0,5,0.984375,0.28749999999999987,4.112814895472355,0.4600937500000001,0.5273125,0.4044375
128,30,31,0.3650020091399587,0.41103033606587774,0.2264892578125,0.7578952501550656,0.04219742283955541,7.962499998407506,0.4606875,evaluated,238.3619634974748,157,11.214285714285714,27,0.03774915422712054,17025.854535533912,14,14,20,2.0,5,0.984375,0.28749999999999987,4.112814895472355,0.4600937500000001,0.5273125,0.4044375
256,10,15,0.34911115066709336,0.4399808825090674,0.2010986328125,0.766964678676329,0.04146212872190835,9.49999999810002,0.45249999999999996,evaluated,276.94151475280523,68,5.666666666666667,10,0.03959782918294271,23078.45956273377,12,12,15,2.6666666666666665,7,0.9892708333333334,0.4033333333333333,3.505152233310934,0.44203125,0.5330625,0.39662500000000006
